"","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth"
"341","191001_512_B4",0.996,258.590163934426,11.36,9.49318729441984,23.2771666666667,0.0643807757710451,48.6907374425201,48.6907374425201,4.41216666666667,20.9445,25.3566666666667,2.0795
"342","191001_512_C4",0.997,258.590163934426,11.36,10.4804070798218,21.198,0.0439593465133519,52.971542800087,52.971542800087,3.854,19.1696666666667,23.0236666666667,1.82566666666667
"343","191001_512_D4",0.9943,258.590163934426,11.36,9.17551084799129,23.7336666666667,0.0784678617421822,49.1837069085893,49.1837069085893,4.97,21.3503333333333,26.3203333333333,2.38333333333334
"344","191001_512_A5",0.9949,258.590163934426,11.36,10.2920749070324,23.0745,0.0973372172959511,48.0512038073029,48.0512038073029,4.057,20.7925,24.8495,1.775
"345","191001_512_B5",0.9923,258.590163934426,11.36,9.94730950468579,26.7258333333333,0.537224651133611,46.2299050523381,46.2299050523381,4.51366666666667,22.2121666666667,26.7258333333333,4.51366666666667
"346","191001_512_C5",0.9981,258.590163934426,11.36,13.9621817241027,20.9445,0.02167385891893,67.6093353941915,67.6093353941915,3.90466666666667,18.7133333333333,22.618,1.6735
"347","191001_512_D5",0.9964,258.590163934426,11.36,11.2560975960025,22.1108333333333,0.0403653790223821,55.2549005792036,55.2549005792036,4.46283333333333,20.0316666666667,24.4945,2.07916666666667
"348","191001_512_A6",0.9899,258.590163934426,11.36,9.66306623272317,22.3645,0.0469987621672626,49.1283954757998,49.1283954757998,4.51333333333334,20.0825,24.5958333333333,2.23133333333334
"349","191001_512_B6",0.9925,258.590163934426,11.36,10.5397842781872,21.553,0.0598236056789682,50.5013957461279,50.5013957461279,4.0065,19.8288333333333,23.8353333333333,1.72416666666667
"350","191001_512_C6",0.997,258.590163934426,11.36,12.130111513751,20.488,0.0308499511180139,66.3836429397454,66.3836429397454,4.71616666666667,17.7496666666667,22.4658333333333,1.97783333333333
"351","191001_512_D6",0.9946,258.590163934426,11.36,9.85561747188967,22.9221666666667,0.0206336352748264,48.5560407710145,48.5560407710145,4.3105,20.4375,24.748,1.82583333333334
"352","191002_124_A1",0,491.9076816609,12.1196666666667,0,12.1196666666667,4.04528981286661e-09,0,0,0,12.1196666666667,12.1196666666667,0
"353","191002_124_B1",0.6401,491.9076816609,12.1196666666667,1.86158706724427,21.602,0.0845426898704889,9.9511779823647,9.9511779823647,3.34666666666667,20.0808333333333,23.4275,1.52116666666667
"354","191002_124_D1",0.9989,491.9076816609,12.1196666666667,38.4261634194468,26.673,0.986314131069448,202.35904670148,202.35904670148,4.006,22.667,26.673,4.006
"355","191002_124_A2",0.9983,491.9076816609,12.1196666666667,160.659472612954,18.3566666666667,0.336651757914803,835.304792466098,835.304792466098,4.76633333333333,15.72,20.4863333333333,2.12966666666667
"356","191002_124_B2",0.9996,491.9076816609,12.1196666666667,167.446112595043,22.8188333333333,0.145232405416949,871.840301275253,871.840301275253,4.81716666666667,19.8778333333333,24.695,1.87616666666667
"357","191002_124_C2",0.9997,491.9076816609,12.1196666666667,235.35248584237,25.3545,0.179488361849227,871.708734163579,871.708734163579,2.18066666666666,23.1738333333333,25.3545,2.18066666666666
"358","191002_124_D2",0.9738,491.9076816609,12.1196666666667,7.66101135662893,24.0358333333333,0.156864869674695,42.6370893740537,42.6370893740537,5.27383333333333,21.247,26.5208333333333,2.485
"359","191002_124_A3",0.9981,491.9076816609,12.1196666666667,90.144174238053,26.673,1.23941027774105,218.925631748561,218.925631748561,1.82583333333334,24.8471666666667,26.673,1.82583333333334
"360","191002_124_B3",0.9993,491.9076816609,12.1196666666667,209.417068962564,21.3483333333333,0.343742884422709,970.018847736567,970.018847736567,4.00616666666667,19.1171666666667,23.1233333333333,1.775
"361","191002_124_C3",0.9985,491.9076816609,12.1196666666667,183.010493903477,15.2128333333333,0.217397799244747,651.949711801924,651.949711801924,2.94083333333333,13.6916666666667,16.6325,1.41966666666667
"362","191002_124_D3",0.9997,491.9076816609,12.1196666666667,135.410986410559,21.5005,0.200687753727375,858.736672276745,858.736672276745,6.03416666666666,18.0525,24.0866666666667,2.58616666666667
"363","191002_124_A4",0.9999,491.9076816609,12.1196666666667,115.50956645677,26.673,0.696838601762403,551.564632865049,551.564632865049,3.44833333333333,23.2246666666667,26.673,3.44833333333333
"364","191002_124_B4",0.9981,491.9076816609,12.1196666666667,15.7668237775636,19.32,0.0892438761701102,101.786047266902,101.786047266902,4.51266666666666,16.937,21.4496666666667,2.12966666666667
"365","191002_124_C4",0.9995,491.9076816609,12.1196666666667,124.692778589275,26.673,1.24452255183297,393.097714284489,393.097714284489,2.43416666666667,24.2388333333333,26.673,2.43416666666667
"366","191002_124_D4",0.9893,491.9076816609,12.1196666666667,7.73790012923087,20.03,0.0868061598649371,58.2224000202964,58.2224000202964,8.31616666666667,14.3,22.6161666666667,2.58616666666667
"367","191002_124_A5",0.9977,491.9076816609,12.1196666666667,58.411198928801,26.673,1.13874280712288,174.977824273959,174.977824273959,2.485,24.188,26.673,2.485
"368","191002_124_B5",0.9974,491.9076816609,12.1196666666667,22.1910374605204,23.3766666666667,0.0998026906807781,101.257145012498,101.257145012498,3.49883333333334,21.3991666666667,24.898,1.52133333333334
"369","191002_124_C5",0.9991,491.9076816609,12.1196666666667,82.9205279859138,26.673,1.14961268506798,288.911662783064,288.911662783064,1.87633333333333,24.7966666666667,26.673,1.87633333333333
"370","191002_124_D5",0.9976,491.9076816609,12.1196666666667,27.0550227550154,23.2753333333333,0.132710847010101,124.529370600045,124.529370600045,3.90466666666667,20.9933333333333,24.898,1.62266666666667
"371","191002_124_A6",0.9912,491.9076816609,12.1196666666667,6.76564771882227,15.3141666666667,0.093836062742193,60.2171051727227,60.2171051727227,3.14383333333334,13.8945,17.0383333333333,1.41966666666667
"372","191002_124_B6",0.9999,491.9076816609,12.1196666666667,209.376453439943,25.6586666666667,1.38269703673751,736.546383172145,736.546383172145,1.927,23.7316666666667,25.6586666666667,1.927
"373","191002_124_C6",0.9993,491.9076816609,12.1196666666667,148.308419751129,22.2611666666667,0.300213739816919,846.466265576199,846.466265576199,5.1215,19.4721666666667,24.5936666666667,2.3325
"374","191002_124_D6",0.9992,491.9076816609,12.1196666666667,174.899591296571,21.247,0.308019909451809,833.955095577376,833.955095577376,4.00583333333333,19.0158333333333,23.0216666666667,1.77466666666666
"375","191002_510_A1",0.879,377.931441086094,13.793,2.3973899292821,14.655,0.0827253305143983,15.8580828523049,15.8580828523049,1.26783333333333,14.655,15.9228333333333,1.26783333333333
"376","191002_510_B1",0,377.904059505564,13.793,0,13.793,4.29403886379981e-09,0,0,0,13.793,13.793,0
"377","191002_510_C1",0,377.875231954622,13.793,5.74004843656439e-09,21.247,2.63752657063832e-06,7.36589953476141e-08,7.36589953476141e-08,0,21.247,21.247,0
"378","191002_510_D1",0.9992,377.845124130337,13.793,53.0898089152515,26.673,1.19388284164985,243.191899978596,243.191899978596,3.34683333333334,23.3261666666667,26.673,3.34683333333334
"379","191002_510_A2",0.9984,377.814023030476,13.793,111.426146606659,26.673,1.37829096083926,222.693289074408,222.693289074408,1.21716666666667,25.4558333333333,26.673,1.21716666666667
"380","191002_510_B2",0.9988,377.781595591825,13.793,99.4255447799378,26.673,1.16985709429239,219.995605026829,219.995605026829,1.47083333333333,25.2021666666667,26.673,1.47083333333333
"381","191002_510_C2",0.9998,377.748343927669,13.793,178.516750947337,26.673,0.955461091367097,467.23970922145,467.23970922145,1.72433333333333,24.9486666666667,26.673,1.72433333333333
"382","191002_510_D2",0.9976,377.713906584506,13.793,53.5549201558547,26.673,1.07614739458486,135.633608859673,135.633608859673,1.57216666666667,25.1008333333333,26.673,1.57216666666667
"383","191002_510_A3",0.9948,377.678694839051,13.793,60.9630039221145,26.673,1.57539521382909,137.035325705238,137.035325705238,1.16633333333333,25.5066666666667,26.673,1.16633333333333
"384","191002_510_B3",0.9986,377.642554759972,13.793,98.4891606973451,26.673,1.42506772392879,233.892627549559,233.892627549559,1.52166666666667,25.1513333333333,26.673,1.52166666666667
"385","191002_510_C3",0.9988,377.605922732565,13.793,80.4755345339481,26.673,1.01750082972358,184.337048380281,184.337048380281,1.3185,25.3545,26.673,1.3185
