"","set","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth","line","Sample_ID","Survey","tmax"
"653","191015_124_2","191015_124_B2",0.979714573399099,177.39198123072,8.723,1.5709324155778,28.2975,1.20653042822915,3.20379290184763,3.20379290184763,2.637,25.6605,28.2975,2.637,"2",12815,"1000_lakes",19.5745
"654","191015_124_2","191015_124_A2",0.943341528652133,177.39199618653,8.723,2.26825898837301,27.7396666666667,1.33628773466736,12.7564443404578,12.7564443404578,8.01216666666667,19.7275,27.7396666666667,8.01216666666667,"2",12815,"1000_lakes",19.0166666666667
"655","191015_124_2","191015_124_C2",0.9783449579892,177.391966161559,8.723,2.53721570189603,28.348,1.36709477533167,4.60584864835634,4.60584864835634,2.28183333333333,26.0661666666667,28.348,2.28183333333333,"2",12815,"1000_lakes",19.625
"656","191015_124_2","191015_124_D2",0.917781998381922,177.391951076086,8.723,3.31666191846343,28.2975,1.44800576929909,6.06469552679951,6.06469552679951,2.282,26.0155,28.2975,2.282,"2",12815,"1000_lakes",19.5745
"657","191015_124_3","191015_124_D3",0.965765052268967,177.391890687739,8.723,2.18166132105964,21.6545,0.0804385059414755,12.1566801816775,4.57087623191043,7.0995,17.0905,24.19,2.5355,"3",13238,"1000_lakes",12.9315
"658","191015_124_3","191015_124_C3",0.956771046768585,177.391905854547,8.723,1.1691018906026,28.2975,0.935924053470929,2.14202190864587,2.14202190864587,2.282,26.0155,28.2975,2.282,"3",13238,"1000_lakes",19.5745
"659","191015_124_3","191015_124_A3",0.965496756068291,177.391936071771,8.723,1.66681871510176,19.8796666666667,0.0775250533727384,10.3152737946322,5.07176746765221,7.60633333333334,15.975,23.5813333333333,3.70166666666667,"3",13238,"1000_lakes",11.1566666666667
"660","191015_124_3","191015_124_B3",0.997153984937044,177.391920948913,8.723,8.8926358396629,16.685,0.0864645993812832,35.9159996387573,16.332717855547,5.02016666666667,14.4536666666667,19.4738333333333,2.23133333333333,"3",13238,"1000_lakes",7.962
"661","191015_124_4","191015_124_C4",0.953541010735878,177.391845134111,8.723,2.18556939509894,22.3645,0.122723131049976,14.1724387772887,6.60042638861143,8.215,17.902,26.117,3.7525,"4",12543,"1000_lakes",13.6415
"662","191015_124_4","191015_124_B4",0.954188776157684,177.391860378998,8.723,2.51941549951211,22.0603333333333,0.157259220018157,13.7895773109312,6.02412783569257,7.0995,18.0033333333333,25.1028333333333,3.0425,"4",12543,"1000_lakes",13.3373333333333
"663","191015_124_4","191015_124_A4",0.955329837677263,177.391875496476,8.723,1.79557124838659,21.908,0.107082667312402,12.928306842804,4.64061291557588,9.22916666666667,15.8736666666667,25.1028333333333,3.19483333333333,"4",12543,"1000_lakes",13.185
"664","191015_124_4","191015_124_D4",0.974169934943986,177.391829960139,8.723,2.4771711315676,28.3988333333333,1.05548931623395,4.06889581696589,4.06889581696589,2.02833333333334,26.3705,28.3988333333333,2.02833333333334,"4",12543,"1000_lakes",19.6758333333333
"665","191015_124_5","191015_124_D5",0.976458845617076,177.391768588623,8.723,4.01503119504479,27.993,1.25782630887366,13.078582801427,13.078582801427,4.5635,23.4295,27.993,4.5635,"5",12259,"1000_lakes",19.27
"666","191015_124_5","191015_124_B5",0.986570580277778,177.39179931755,8.723,2.5522262707518,23.3786666666667,0.0648491124393447,24.8324815450247,11.775578472759,12.627,16.3805,29.0075,5.62883333333333,"5",12259,"1000_lakes",14.6556666666667
"667","191015_124_5","191015_124_C5",0.987462154931489,177.391783996186,8.723,2.16062313355351,27.0296666666667,0.633119786885693,20.5392279422049,20.5392279422049,12.1701666666667,14.8595,27.0296666666667,12.1701666666667,"5",12259,"1000_lakes",18.3066666666667
"668","191015_124_5","191015_124_A5",0.977828672506408,177.391814655143,8.723,2.68289006810167,27.9425,0.910059754570523,8.67318469825767,8.67318469825767,4.4625,23.48,27.9425,4.4625,"5",12259,"1000_lakes",19.2195
"669","191015_124_6","191015_124_D6",0.971757152376636,177.391706771606,8.723,2.20234598940303,28.4495,0.638325671944737,3.54940965701067,3.54940965701067,1.9775,26.472,28.4495,1.9775,"6",11766,"1000_lakes",19.7265
"670","191015_124_6","191015_124_B6",0.97006260033787,177.391737761066,8.723,2.79645885872029,19.677,0.0982447056312385,13.7493700524439,6.43118290169111,6.136,16.837,22.973,2.84,"6",11766,"1000_lakes",10.954
"671","191015_124_6","191015_124_C6",0.978305004513431,177.39172233835,8.723,3.0758135454038,18.9161666666667,0.10721649959436,14.6364217610915,6.59749746395501,5.933,15.62,21.553,2.63683333333334,"6",11766,"1000_lakes",10.1931666666667
